"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP490/2024-2025/187611-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Veersinghpur from Shyam Sundar Pathaks house to Ranju Upadhyays house. Length 55 m.","Shri Narendra Modi","VARANASI","Images","24-Sep-2025","255871"
"2","Normal/Others","WS/MP490/2024-2025/187610-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Sihorawa from Musahar Basti to Dineshs house in Village. Length 100 m.","Shri Narendra Modi","VARANASI","Images","29-Sep-2025","434482"
"3","Normal/Others","WS/MP490/2024-2025/187609-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Jayapur from Babu Lal Guptas house to Prabhu Vishwakarmas house. Length 50 m.","Shri Narendra Modi","VARANASI","Images","21-Jul-2025","241921"
"4","Normal/Others","WS/MP490/2024-2025/187582-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Gram sabha Jogapur from Kallu Netas house to Bachchas garden. Length 140 m.","Shri Narendra Modi","VARANASI","Images","24-Sep-2025","710184"
"5","Normal/Others","WS/MP490/2024-2025/187574-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Village Sabha Khemai Pur from near Nathu Pals house to near Nahra. Length 70 m.","Shri Narendra Modi","VARANASI","Images","19-Dec-2025","442867"
"6","Normal/Others","WS/MP490/2024-2025/187573-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Sattanpur Khamouna from Chhotelal Rajbhars farmland house to Shri Nehru UMV. Length 210 m.","Shri Narendra Modi","VARANASI","Images","01-Dec-2025","741307"
"7","Normal/Others","WS/MP490/2024-2025/187571-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road work in Gram Sabha Akedaga (Khargupur) from Vijay Shankar Mishras house to Shiv Mandir. Length 160 m.","Shri Narendra Modi","VARANASI","Images","18-Jul-2026","575041"
"8","Normal/Others","WS/MP490/2024-2025/187570-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking Village Hathi Dih from Pappu Singhs house to Fajihat Singhs house in. Length 60 m.","Shri Narendra Modi","VARANASI","Images","29-Dec-2025","219584"
"9","Normal/Others","WS/MP490/2024-2025/187568-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Bara Dih from Babus house to Avadhesh Rajbhars house in Baradih. Length 150 m.","Shri Narendra Modi","VARANASI","Images","17-Oct-2025","599930"
"10","Normal/Others","WS/MP490/2024-2025/187564-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from Rasipur Gond Basti to Ramesh Singhs Sandeep Kannaujiyas house. Length 152 m.","Shri Narendra Modi","VARANASI","Images","19-Dec-2025","609442"
"11","Normal/Others","WS/MP490/2024-2025/187562-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Ganeshpur from canal pitch road to Moni Rajs house. Length 105 m.","Shri Narendra Modi","VARANASI","Images","29-Dec-2025","421159"
"12","Normal/Others","WS/MP490/2024-2025/187560-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Parmanandpur from Anokha Lals house to the pitch road near Chaurasi Ravidas Park near Khandja. Length 195 m.","Shri Narendra Modi","VARANASI","Images","17-Oct-2025","824406"
"13","Normal/Others","WS/MP490/2024-2025/187559-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Harsos from Vikram Patels old house to Ram Snehis house. Length 93 m.","Shri Narendra Modi","VARANASI","Images","29-Dec-2025","307868"
"14","Normal/Others","WS/MP490/2024-2025/187557-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Jansa from Jingle Bhagats house to near Shyam Sundar Patels house.Length 135 m.","Shri Narendra Modi","VARANASI","Images","29-Dec-2025","504189"
"15","Normal/Others","WS/MP490/2024-2025/187556-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Jansa from RCC road near Kamleshwar Mauryas house to near Surya Mauryas house. Length 46 m.","Shri Narendra Modi","VARANASI","Images","17-Oct-2025","195178"
"16","Normal/Others","WS/MP490/2024-2025/187555-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Arjunpur from Amresh Patels door to Hanuman jis temple. Length 100 m.","Shri Narendra Modi","VARANASI","Images","21-Jul-2025","390647"
"17","Normal/Others","WS/MP490/2024-2025/187554-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Gram Sabha Bhishmapur by connecting road from Ilaka Singhs garden to Santosh Singhs door. Length 62 m.","Shri Narendra Modi","VARANASI","Images","01-Dec-2025","302099"
"18","Normal/Others","WS/MP490/2024-2025/187553-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Village Sabha Belwa from the government tube well to the house of Tega Chauhan (Chauhan Basti link road). Length 155 m.","Shri Narendra Modi","VARANASI","Images","13-Aug-2025","611175"
"19","Normal/Others","WS/MP490/2024-2025/187552-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Village Sabha Leduai from Lalpur Chatti Bhishmapur link road to Durga Mata temple. Length 62.50 m.","Shri Narendra Modi","VARANASI","Images","16-Oct-2025","323426"
"20","Normal/Others","WS/MP490/2024-2025/187551-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Gram Sabha Ramdih from Arjunpur pitch road to the house of Darbari Patel. Length 93 m.","Shri Narendra Modi","VARANASI","Images","27-Sep-2025","459006"
"21","Normal/Others","WS/MP490/2024-2025/187550-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Nibhani from Kapsethi-Kachhwa road to Nevada sampark road to Srivastava Basti. Length 80 m.","Shri Narendra Modi","VARANASI","Images","08-Jul-2025","362968"
"22","Normal/Others","WS/MP490/2024-2025/187549-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from the house of Brahmaprasad of Brahmin Basti of Village Sabha Jogapur to the house of Pankaj Mishra  Kotedar. Length 30 m.","Shri Narendra Modi","VARANASI","Images","24-Sep-2025","105146"
"23","Normal/Others","WS/MP490/2024-2025/187548-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from the Pahi of Harilal God of Village Sabha Chhateri Manapur to the house of Kapil Dev Tiwari (link road). Length 65 m","Shri Narendra Modi","VARANASI","Images","01-Dec-2025","234372"
"24","Normal/Others","WS/MP490/2024-2025/187228-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work In Loco Chittupur ward no. 07, from house no. C 33-281 late Chhedi Maurya till house no. C 33-287 Nagendra Prasad Singh jis house, length 43.70 m","Shri Narendra Modi","VARANASI","Images","29-Nov-2025","203037"
"25","Normal/Others","WS/MP490/2024-2025/187225-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Loko Chittupur ward no. 07, from house no. C 33-283 Pramod Maurya to house no. C 32-31A work from the house of Raju Goswami ji till the house. Length 141 m","Shri Narendra Modi","VARANASI","Images","16-Oct-2025","690282"
"26","Normal/Others","WS/MP490/2024-2025/187222-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Shivpurwan Ward no. 10, from D 64-54 Bhaiyalal Bind to D 64-56 Suresh Bind Mini Tubewell, Madhavpur. Length 102 m.","Shri Narendra Modi","VARANASI","Images","01-Dec-2025","266784"
"27","Normal/Others","WS/MP490/2024-2025/187218-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kazipura Khurd ward no. 77, from Sonu Mauryas house KC 14-157 to Kailash Jaiswal length 39.40 m","Shri Narendra Modi","VARANASI","Images","14-Aug-2025","167027"
"28","Normal/Others","WS/MP490/2024-2025/187217-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Lahartara ward no. 1, from Rajendra Sabji Walas house to late Gurucharans house, 3.00 m width 100 m length behind Naya Basti Telephone Colony and from Brijesh Pandeys house to Deenanaths house. Length 90.80 m.","Shri Narendra Modi","VARANASI","Images","06-Dec-2025","246598"
"29","Normal/Others","WS/MP490/2024-2025/187203-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Old Ramnagar Kodopur Ward no. 65 from Shri Neelu Sonkars house to Shri Manoj Sonkars house, Kodopur, length 105 m","Shri Narendra Modi","VARANASI","Images","23-Jul-2025","236071"
"30","Normal/Others","WS/MP490/2024-2025/187197-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Chowka resetting and Gali Peet  work in Sarai Nandan Ward 28 from Vijay Patel house no. 3-154 to Rama Patel house no. 4-154 , length 45.20 m","Shri Narendra Modi","VARANASI","Images","19-Dec-2025","124247"
"31","Normal/Others","WS/MP490/2024-2025/187192-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kazipurakhurd ward no. 77, from C 14-149-17-20 late Vindhyavasini Lal Srivastavas house to C 14-159-17-7 Satish Chaurasias house, length 61.50 m","Shri Narendra Modi","VARANASI","Images","17-Oct-2025","305724"
"32","Normal/Others","WS/MP490/2024-2025/187189-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work, from house C 15-304 Mangal Yadav to house C 15-306 Nandlal Maurya, length 26.70 m","Shri Narendra Modi","VARANASI","Images","11-Mar-2026","111052"
"33","Normal/Others","WS/MP490/2024-2025/187187-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work, from Ramesh Binds house no. 59-278 to Shankarjis temple, to Sunil Mauryas house no. 59-293, length 200 m","Shri Narendra Modi","VARANASI","Images","11-Mar-2026","704920"
"34","Normal/Others","WS/MP490/2024-2025/187186-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work, from Kailash Guptas house no. D 59-314 B to Bharat Lal Binds house no. D 59-314 G, length 47.50 m","Shri Narendra Modi","VARANASI","Images","06-Dec-2025","351982"
"35","Normal/Others","WS/MP490/2024-2025/187184-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work on kutcha road from the street next to Navodaya School Badi Gaibi VDA Colony to the empty plot of Ganga Sagar Sonkar Chand  (Sand filling) Length 97 m","Shri Narendra Modi","VARANASI","Images","11-Mar-2026","439209"
"36","Normal/Others","WS/MP490/2024-2025/187183-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from B 1-148-7, Vimla Devis house to B 1-148 D-1, Purnchandra Upadhyays house. Length 68.50 m","Shri Narendra Modi","VARANASI","Images","01-Dec-2025","236658"
"37","Normal/Others","WS/MP490/2024-2025/187180-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction work from Daitraveer temple to Sharma ji house. Interlocking length 78 m","Shri Narendra Modi","VARANASI","Images","18-Oct-2025","252168"
"38","Normal/Others","WS/MP490/2024-2025/187179-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction work from Chhedi Sonkars house to Lalu house and from Vechan Sonkars house to Ramu house. Interlocking length 50 m","Shri Narendra Modi","VARANASI","Images","21-Jul-2025","146824"
