"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP490/2024-2025/187453-Providing supply pipelines for drinking water","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Water pipeline, sewer and new stone in Ishwargangi ward no. 73 in the lane from K 57-4 Navapura to K57-16. Length 99.50 m","29-Mar-2025","31-Mar-2025","243198","Physical Inspection"
"2","Normal/Others","WS/MP490/2025-2026/240972-Providing drains and gutters for public drainage","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Sewer work from Vijay Kumar Yadav house in New Colony to Shri Ramdhani Bharti house in Bhiti Block Kashi Vidyapeeth Length 157 m","10-Oct-2025","15-Oct-2025","517000","Physical Inspection"
"3","Normal/Others","WS/MP490/2025-2026/240966-Providing drains and gutters for public drainage","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Sewer and interlocking work from Ramashankar Srivastava house to Vikram Chauhan house Length 117 m","10-Oct-2025","15-Oct-2025","449000","Physical Inspection"
"4","Normal/Others","WS/MP490/2025-2026/240967-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking Work from Gulab Singh Yadav house to Kailash Prasad Saroj Length 170 m","10-Oct-2025","15-Oct-2025","900000","Physical Inspection"
"5","Normal/Others","WS/MP490/2025-2026/240968-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Sigara Ward No 53 from HNo D59103D5KH Shri Naveen Khanna ji to HNo D59103N Shri Rajiv Mishra ji house in Sigara Length 77 m","10-Oct-2025","15-Oct-2025","705000","Physical Inspection"
"6","Normal/Others","WS/MP490/2025-2026/240969-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Ward No 92 Lallapura Kala from Hanuman Temple to HNo C15255 Ahmed house Length 65 m","10-Oct-2025","15-Oct-2025","202134","Physical Inspection"
"7","Normal/Others","WS/MP490/2025-2026/240970-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Harendra Rai house to Ashok Yadav house in old Ramnagar ward no 65 Kodopur Length 93 m","10-Oct-2025","15-Oct-2025","598968","Physical Inspection"
"8","Normal/Others","WS/MP490/2025-2026/240971-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction work from near Swami Vivekanand School to Ram Janaki Temple in Golaghat Ward No12 Ramnagar Length 125 m","10-Oct-2025","15-Oct-2025","776000","Physical Inspection"
"9","Normal/Others","WS/MP490/2025-2026/241008-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Sarsouli Ward No 16 Sharda Bihar Colony Mirapur Basahi Interlocking work from Kanchan Srivastava house to Jitendra Sonkar house Length 138 m","10-Oct-2025","15-Oct-2025","686996","Physical Inspection"
"10","Normal/Others","WS/MP490/2025-2026/241009-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Narayanpur Ward No 31 Shanti Bihar Colony Central Jail Road Interlocking work from P Ram house to Janaki Devis house Length 26 m","10-Oct-2025","15-Oct-2025","66434","Physical Inspection"
"11","Normal/Others","WS/MP490/2025-2026/241010-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Shivpur Ward No 9 Bhairav Nagar Colony Interlocking work from Jai Narayan Singh house to Sundar Villa S412933 Length 55m","10-Oct-2025","15-Oct-2025","443326","Physical Inspection"
"12","Normal/Others","WS/MP490/2025-2026/241011-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Shivpur Ward No 9 Kundan Nagar Colony Interlocking work from Pankaj Upadhyay house S1657 to Gaurishankar Gupta house Length 63 m","10-Oct-2025","15-Oct-2025","803000","Physical Inspection"
"13","Normal/Others","WS/MP490/2025-2026/241013-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Sewer and interlocking work from Daniyalpur Ward No 37 Chauhan Basti Ruppanpur Panchkroshi Bachdelaal Bind SA 3136A to Chhote Lal Binds house SE2136A Length 11 m","10-Oct-2025","15-Oct-2025","50000","Physical Inspection"
